PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_unbound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_009904	chr8	83389542	83390142	+	0	NA	promoter-TSS (NM_001329627)	promoter-TSS (NM_001329627)	0	NM_009904	12745		NM_009904	ENSMUSG00000002190	Clgn	4930459O04Rik|A2/6|Cln	calmegin	protein-coding	0.070000	0.602329	-8(TCCCGC,+,0.00),47(GCGGGA,-,0.00)
NM_153052	chr14	56174299	56174899	-	0	NA	promoter-TSS (NM_001305808)	promoter-TSS (NM_001305808)	0	NM_153052	245839		NM_153052	ENSMUSG00000015443	Gzmn	GrN	granzyme N	protein-coding	0.016667	0.379368	
NM_023249	chr16	17069839	17070439	+	0	NA	promoter-TSS (NM_001291053)	promoter-TSS (NM_001291053)	0	NM_023249	106369		NM_023249	ENSMUSG00000022773	Ypel1	0610009L05Rik|1700016N17Rik|1700019O22Rik|4921520K19Rik|4930511F14Rik|DGL-1|Dgl1|Ppil2|mdgl-1	yippee like 1	protein-coding	0.116667	0.727121	-29(GCGGGA,-,0.00)
NM_053253	chr9	107547004	107547604	+	0	NA	promoter-TSS (NM_001379079)	promoter-TSS (NM_001379079)	0	NM_053253	114602		NM_053253	ENSMUSG00000010044	Zmynd10	Blu	zinc finger, MYND domain containing 10	protein-coding	0.040000	0.565724	
NM_010759	chrX	91331455	91332055	+	0	NA	promoter-TSS (NM_010759)	promoter-TSS (NM_010759)	0	NM_010759	17145		NM_010759	ENSMUSG00000062162	Mageb1	MAGE-Xp|Mage-b1|Mage-rs1|Magel1|Smage1|dam1	MAGE family member B1	protein-coding	0.010000	0.479201	
NR_029816	chr14	115044127	115044727	+	0	NA	promoter-TSS (NR_029382)	promoter-TSS (NR_029382)	0	NR_029816	751549		NR_029816	ENSMUSG00000076062	Mir92-1	Mirn92-1|mir-92a-1	microRNA 92-1	ncRNA	0.021667	0.424293	
NM_001018013	chr7	45621511	45622111	+	0	NA	promoter-TSS (NM_001018013)	promoter-TSS (NM_001018013)	0	NM_001018013	73456		NM_001018013	ENSMUSG00000064158	Izumo1	1700058F15Rik|Izumo	izumo sperm-egg fusion 1	protein-coding	0.021667	0.499168	
NM_001034102	chr14	51716832	51717432	-	0	NA	promoter-TSS (NM_001034102)	promoter-TSS (NM_001034102)	0	NM_001034102	545047		NM_001034102	ENSMUSG00000068506	Gm5800	EG545047	predicted gene 5800	protein-coding	0.001667	0.465890	
NM_001162979	chr7	89903329	89903929	-	0	NA	promoter-TSS (NM_001162979)	promoter-TSS (NM_001162979)	0	NM_001162979	70884		NM_001162979	ENSMUSG00000039391	Ccdc81	4921513D09Rik	coiled-coil domain containing 81	protein-coding	0.031667	0.495840	
NM_019569	chr6	28427601	28428201	+	0	NA	promoter-TSS (NM_019569)	promoter-TSS (NM_019569)	0	NM_019569	56223		NM_019569	ENSMUSG00000029707	Fscn3	-	fascin actin-bundling protein 3	protein-coding	0.011667	0.509151	
NR_029853	chrX	52741467	52742067	-	0	NA	promoter-TSS (NR_029853)	promoter-TSS (NR_029853)	0	NR_029853	723852		NR_029853	ENSMUSG00000070106	Mir363	Mirn363|mir-363|mmu-mir-363	microRNA 363	ncRNA	0.018333	0.414309	
NR_029755	chr2	131287752	131288352	+	0	NA	promoter-TSS (NR_029755)	promoter-TSS (NR_029755)	0	NR_029755	723825		NR_029755	ENSMUSG00000065563	Mir103-2	Mirn103-2|mir-103-2	microRNA 103-2	ncRNA	0.006667	0.447587	
NM_001033423	chrX	56212581	56213181	-	0	NA	promoter-TSS (NM_001033423)	promoter-TSS (NM_001033423)	0	NM_001033423	331416		NM_001033423	ENSMUSG00000073177	Gm773	-	predicted gene 773	protein-coding	0.021667	0.529118	
NM_175674	chr3	64719302	64719902	-	0	NA	promoter-TSS (NM_175674)	promoter-TSS (NM_175674)	0	NM_175674	319217		NM_175674	ENSMUSG00000062200	Vmn2r7	4933425M15Rik	vomeronasal 2, receptor 7	protein-coding	0.003333	0.402662	
NM_028434	chr7	12512251	12512851	+	0	NA	promoter-TSS (NM_028434)	promoter-TSS (NM_028434)	0	NM_028434	73090		NM_028434	ENSMUSG00000030385	2900092C05Rik	-	RIKEN cDNA 2900092C05 gene	protein-coding	0.005000	0.435940	
NM_031379	chrX	74176959	74177559	+	0	NA	promoter-TSS (NM_031379)	promoter-TSS (NM_031379)	0	NM_031379	83553		NM_031379	ENSMUSG00000031397	Tktl1	-	transketolase-like 1	protein-coding	0.036667	0.534110	102(GCGGGA,-,0.00)
NM_025727	chr11	100441624	100442224	+	0	NA	promoter-TSS (NM_025727)	promoter-TSS (NM_025727)	0	NM_025727	66720		NM_025727	ENSMUSG00000001558	Klhl10	4921517C11Rik	kelch-like 10	protein-coding	0.015000	0.555740	
NM_194269	chr17	80289912	80290512	+	0	NA	promoter-TSS (NM_194269)	promoter-TSS (NM_194269)	0	NM_194269	378462		NM_194269	ENSMUSG00000045257	Morn2	Mopt	MORN repeat containing 2	protein-coding	0.075000	0.665557	
NM_001099325	chrX	27946585	27947185	-	0	NA	promoter-TSS (NM_001100609)	promoter-TSS (NM_001100609)	0	NM_001099325	100042109		NM_001099325	ENSMUSG00000073257	Gm10488	-	predicted gene 10488	protein-coding	0.011667	0.462562	
NM_031867	chr4	152038190	152038790	-	0	NA	promoter-TSS (NM_001159599)	promoter-TSS (NM_001159599)	0	NM_031867	110326		NM_031867	ENSMUSG00000028950	Tas1r1	Gpr70|T1r1|TR1	taste receptor, type 1, member 1	protein-coding	0.011667	0.577371	
NM_172851	chr1	99772101	99772701	+	0	NA	promoter-TSS (NM_172851)	promoter-TSS (NM_172851)	0	NM_172851	241175		NM_172851	ENSMUSG00000067028	Cntnap5b	C230078M14Rik|Caspr5-2	contactin associated protein-like 5B	protein-coding	0.038333	0.552413	-255(GCGGGA,-,0.00),-112(GCGGGA,-,0.00)
NM_001025085	chr14	7332095	7332695	-	0	NA	promoter-TSS (NM_001025085)	promoter-TSS (NM_001025085)	0	NM_001025085	545013		NM_001025085	ENSMUSG00000072726	Gm5797	EG545013	predicted gene 5797	protein-coding	0.005000	0.472546	
NM_027664	chr6	122486005	122486605	-	0	NA	promoter-TSS (NM_027664)	promoter-TSS (NM_027664)	0	NM_027664	108653		NM_027664	ENSMUSG00000040649	Rimklb	4931417E21Rik|4933426K21Rik|Naags	ribosomal modification protein rimK-like family member B	protein-coding	0.163333	0.801997	78(GCGGGA,-,0.00),119(TCCCGC,+,0.00),148(TCCCGC,+,0.00)
NR_028286	chr2	132490428	132491028	+	0	NA	promoter-TSS (NR_028286)	promoter-TSS (NR_028286)	0	NR_028286	70371		NR_028286	ENSMUSG00000086379	1700026D11Rik	-	RIKEN cDNA 1700026D11 gene	ncRNA	0.010000	0.527454	
NM_025741	chr19	30003490	30004090	+	0	NA	promoter-TSS (NM_025741)	promoter-TSS (NM_025741)	0	NM_025741	66745		NM_025741	ENSMUSG00000024815	Trpd52l3	4931412G03Rik	tumor protein D52-like 3	protein-coding	0.026667	0.540765	-55(TCCCGC,+,0.00),264(TCCCGC,+,0.00)
NM_023508	chr5	76330856	76331456	-	0	NA	promoter-TSS (NR_152115)	promoter-TSS (NR_152115)	0	NM_023508	79455		NM_023508	ENSMUSG00000029235	Pdcl2	1700010B22Rik|1700016K07Rik|Mgcphlp|Tphlp	phosducin-like 2	protein-coding	0.016667	0.507488	
NM_027048	chr3	6620143	6620743	-	0	NA	promoter-TSS (NM_027048)	promoter-TSS (NM_027048)	0	NM_027048	69347		NM_027048	ENSMUSG00000069118	1700008P02Rik	-	RIKEN cDNA 1700008P02 gene	pseudo	0.013333	0.465890	
NM_026291	chr4	109530997	109531597	-	0	NA	promoter-TSS (NM_026291)	promoter-TSS (NM_026291)	0	NM_026291	67646		NM_026291	ENSMUSG00000060491	4930522H14Rik	1700007J23Rik	RIKEN cDNA 4930522H14 gene	protein-coding	0.006667	0.400998	
NM_172912	chr8	86566290	86566890	-	0	NA	promoter-TSS (NM_172912)	promoter-TSS (NM_172912)	0	NM_172912	244562		NM_172912	ENSMUSG00000036872	Abcc12	4930467B22Rik|MRP9	ATP-binding cassette, sub-family C member 12	protein-coding	0.021667	0.545757	
NM_028016	chr6	122707265	122707865	+	0	NA	promoter-TSS (NM_001289831)	promoter-TSS (NM_001289831)	0	NM_028016	71950		NM_028016	ENSMUSG00000012396	Nanog	2410002E02Rik|ENK|Stm1|ecat4	Nanog homeobox	protein-coding	0.016667	0.509151	
NM_001045521	chr11	59375353	59375953	-	0	NA	promoter-TSS (NM_001045521)	promoter-TSS (NM_001045521)	0	NM_001045521	216797		NM_001045521	ENSMUSG00000049291	Prss38	Gm249|Mpn2	serine protease 38	protein-coding	0.040000	0.597338	
NM_025758	chr3	153843947	153844547	+	0	NA	promoter-TSS (NM_025758)	promoter-TSS (NM_025758)	0	NM_025758	66772		NM_025758	ENSMUSG00000038997	Asb17	4933436O18Rik	ankyrin repeat and SOCS box-containing 17	protein-coding	0.023333	0.480865	
NM_028854	chr9	58370155	58370755	-	0	NA	promoter-TSS (NM_001357455)	promoter-TSS (NM_001357455)	0	NM_028854	74286		NM_028854	ENSMUSG00000036244	Tbc1d21	1700095K08Rik|MgcRabGAP	TBC1 domain family, member 21	protein-coding	0.003333	0.480865	
NM_177890	chr7	39412860	39413460	-	0	NA	promoter-TSS (NM_177890)	promoter-TSS (NM_177890)	0	NM_177890	330513		NM_177890	ENSMUSG00000053742	Gm5114	4921507A12|EG330513	predicted gene 5114	protein-coding	0.005000	0.397671	
NM_207248	chr7	40987309	40987909	+	0	NA	promoter-TSS (NM_207248)	promoter-TSS (NM_207248)	0	NM_207248	243944		NM_207248	ENSMUSG00000091692	4930433I11Rik	Gm481	RIKEN cDNA 4930433I11 gene	protein-coding	0.003333	0.397671	
NM_026223	chr10	112083054	112083654	+	0	NA	promoter-TSS (NM_001347157)	promoter-TSS (NM_001347157)	0	NM_026223	67537		NM_026223	ENSMUSG00000020214	Glipr1l2	4921508O11Rik	GLI pathogenesis-related 1 like 2	protein-coding	0.031667	0.477537	
NM_009975	chr17	35120992	35121592	-	0	NA	promoter-TSS (NM_001303476)	promoter-TSS (NM_001303476)	0	NM_009975	13001		NM_009975	ENSMUSG00000024387	Csnk2b	CK II beta	casein kinase 2, beta polypeptide	protein-coding	0.085000	0.653910	
NM_001126045	chr5	138021129	138021729	+	0	NA	promoter-TSS (NM_001126045)	promoter-TSS (NM_001126045)	0	NM_001126045	545814		NM_001126045	ENSMUSG00000075599	Smok3a	Smok2b1	sperm motility kinase 3A	protein-coding	0.016667	0.475874	
NM_026257	chr4	134102283	134102883	+	0	NA	promoter-TSS (NR_045571)	promoter-TSS (NR_045571)	0	NM_026257	67586		NM_026257	ENSMUSG00000012126	Ubxn11	4930506L07Rik|D4Bwg1540e|Soc|Soci|Ubxd5	UBX domain protein 11	protein-coding	0.066667	0.572379	42(GCGGGA,-,0.00),105(TCCCGC,+,0.00),208(GCGGGA,-,0.00)
NM_026634	chr2	104122469	104123069	+	0	NA	promoter-TSS (NM_026634)	promoter-TSS (NM_026634)	0	NM_026634	68243		NM_026634	ENSMUSG00000032671	A930018P22Rik	-	RIKEN cDNA A930018P22 gene	protein-coding	0.086667	0.648918	216(GCGGGA,-,0.00)
NM_172834	chr18	77281358	77281958	+	0	NA	promoter-TSS (NM_172834)	promoter-TSS (NM_172834)	0	NM_172834	240411		NM_172834	ENSMUSG00000032818	Loxhd1	1700096C21Rik|4932417K07|sba	lipoxygenase homology domains 1	protein-coding	0.028333	0.597338	129(GCGGGA,-,0.00)
NM_001037166	chr10	88730801	88731401	-	0	NA	promoter-TSS (NM_025859)	promoter-TSS (NM_025859)	0	NM_001037166	237433		NM_001037166	ENSMUSG00000121647	Gm4925	EG237433	predicted gene 4925	protein-coding	0.065000	0.514143	-289(GCGGGA,-,0.00),69(TCCCGC,+,0.00)
NM_010230	chr2	113327436	113328036	+	0	NA	promoter-TSS (NM_001285458)	promoter-TSS (NM_001285458)	0	NM_010230	14260		NM_010230	ENSMUSG00000044042	Fmn1	Fmn|formin-1|ld	formin 1	protein-coding	0.051667	0.594010	74(TCCCGC,+,0.00)
NM_001098842	chrX	68892753	68893353	-	0	NA	promoter-TSS (NM_001098842)	promoter-TSS (NM_001098842)	0	NM_001098842	627927		NM_001098842	ENSMUSG00000056815	Gm6812	EG627927	predicted gene 6812	ncRNA	0.011667	0.490849	
NM_027829	chr10	80702393	80702993	+	0	NA	promoter-TSS (NM_172457)	promoter-TSS (NM_172457)	0	NM_027829	71564		NM_027829	ENSMUSG00000055862	Izumo4	9030607L17Rik	IZUMO family member 4	protein-coding	0.066667	0.620632	-153(GCGGGA,-,0.00),-133(GCGGGA,-,0.00),-32(GCGGGA,-,0.00)
NM_001039095	chr2	25815536	25816136	-	0	NA	promoter-TSS (NM_001039095)	promoter-TSS (NM_001039095)	0	NM_001039095	71103		NM_001039095	ENSMUSG00000036401	Glt6d1	4933411C14Rik|GT6m7	glycosyltransferase 6 domain containing 1	protein-coding	0.003333	0.442596	
NM_008579	chr2	3422348	3422948	-	0	NA	promoter-TSS (NM_001355205)	promoter-TSS (NM_001355205)	0	NM_008579	104362		NM_008579	ENSMUSG00000026650	Meig1	MLZ-278|Meg1	meiosis expressed gene 1	protein-coding	0.013333	0.432612	
NM_172515	chr3	75143472	75144072	-	0	NA	promoter-TSS (NM_001310529)	promoter-TSS (NM_001310529)	0	NM_172515	213234		NM_172515	ENSMUSG00000034151	Zbbx	4931432L23	zinc finger, B-box domain containing	protein-coding	0.005000	0.445923	
NM_023247	chr9	108567136	108567736	-	0	NA	promoter-TSS (NR_029577)	promoter-TSS (NR_029577)	0	NM_023247	66706		NM_023247	ENSMUSG00000070283	Ndufaf3	4733401H18Rik	NADH:ubiquinone oxidoreductase complex assembly factor 3	protein-coding	0.071667	0.630616	
NM_170671	chr11	94521202	94521802	-	0	NA	promoter-TSS (NM_170671)	promoter-TSS (NM_170671)	0	NM_170671	104601		NM_170671	ENSMUSG00000039110	Mycbpap	4932408B01Rik|AMAM-1|AMAP-1	MYCBP associated protein	protein-coding	0.070000	0.610649	165(GCGGGA,-,0.00)
NM_013741	chr17	13220888	13221488	+	0	NA	promoter-TSS (NM_013741)	promoter-TSS (NM_013741)	0	NM_013741	27263		NM_013741	ENSMUSG00000073458	Smok2a	Smok2	sperm motility kinase 2A	protein-coding	0.005000	0.444260	
NM_177719	chr17	33139383	33139983	-	0	NA	promoter-TSS (NM_177719)	promoter-TSS (NM_177719)	0	NM_177719	240069		NM_177719	ENSMUSG00000048602	Morc2b	4932411A10Rik|Tce6	microrchidia 2B	protein-coding	0.030000	0.514143	
NM_025657	chr2	120609015	120609615	-	0	NA	promoter-TSS (NM_025657)	promoter-TSS (NM_025657)	0	NM_025657	66606		NM_025657	ENSMUSG00000027286	Lrrc57	2810002D13Rik	leucine rich repeat containing 57	protein-coding	0.065000	0.610649	
NM_001195710	chr11	69877755	69878355	-	0	NA	promoter-TSS (NM_001195710)	promoter-TSS (NM_001195710)	0	NM_001195710	100503361		NM_001195710	ENSMUSG00000094845	Tmem95	432576	transmembrane protein 95	protein-coding	0.023333	0.512479	
NM_153527	chr7	100514515	100515115	-	0	NA	promoter-TSS (NM_153527)	promoter-TSS (NM_153527)	0	NM_153527	69387		NM_153527	ENSMUSG00000030708	Dnajb13	1700014P03Rik|Tsarg	DnaJ heat shock protein family (Hsp40) member B13	protein-coding	0.021667	0.487521	131(GCGGGA,-,0.00)
NM_026888	chr7	127573048	127573648	+	0	NA	promoter-TSS (NM_026888)	promoter-TSS (NM_026888)	0	NM_026888	68961		NM_026888	ENSMUSG00000030815	Phkg2	1500017I02Rik	phosphorylase kinase, gamma 2 (testis)	protein-coding	0.045000	0.567388	286(TCCCGC,+,0.00)
NM_026136	chr5	146502099	146502699	+	0	NA	promoter-TSS (NM_026136)	promoter-TSS (NM_026136)	0	NM_026136	67410		NM_026136	ENSMUSG00000079093	4930449I24Rik	-	RIKEN cDNA 4930449I24 gene	protein-coding	0.015000	0.522463	
NR_004448	chr4	9917097	9917697	-	0	NA	promoter-TSS (NR_004448)	promoter-TSS (NR_004448)	0	NR_004448	74662		NR_004448	ENSMUSG00000121765	4930448K20Rik	1700009K09Rik	glyceraldehyde-3-phosphate dehydrogenase pseudogene	pseudo	0.000000	0.474210	
NM_001195748	chr15	36140100	36140700	-	0	NA	promoter-TSS (NM_001195748)	promoter-TSS (NM_001195748)	0	NM_001195748	626596		NM_001195748	ENSMUSG00000037627	Rgs22	-	regulator of G-protein signalling 22	protein-coding	0.065000	0.648918	
NM_010420	chr14	27000062	27000662	+	0	NA	promoter-TSS (NM_010420)	promoter-TSS (NM_010420)	0	NM_010420	15209		NM_010420	ENSMUSG00000040726	Hesx1	HES-1|Rpx	homeobox gene expressed in ES cells	protein-coding	0.011667	0.389351	
NM_001166207	chr9	24695993	24696593	-	0	NA	promoter-TSS (NM_001166207)	promoter-TSS (NM_001166207)	0	NM_001166207	320752		NM_001166207	ENSMUSG00000085576	Dpy19l2	4932443J21Rik|Gm18376	dpy-19 like 2	protein-coding	0.056667	0.592346	
NM_025977	chr9	21927171	21927771	+	0	NA	promoter-TSS (NM_178577)	promoter-TSS (NM_178577)	0	NM_025977	67119		NM_025977	ENSMUSG00000006241	Ccdc159	2510048L02Rik	coiled-coil domain containing 159	protein-coding	0.046667	0.582363	9(GCGGGA,-,0.00)
NR_029789	chr4	56894998	56895598	-	0	NA	promoter-TSS (NR_029789)	promoter-TSS (NR_029789)	0	NR_029789	723837		NR_029789	ENSMUSG00000065544	Mir32	Mirn32|mir-32|mmu-mir-32	microRNA 32	ncRNA	0.011667	0.414309	
NM_026251	chr2	122185889	122186489	-	0	NA	promoter-TSS (NM_026251)	promoter-TSS (NM_026251)	0	NM_026251	67578		NM_026251	ENSMUSG00000027233	Patl2	4930424G05Rik|Pat1a	protein associated with topoisomerase II homolog 2 (yeast)	protein-coding	0.031667	0.524126	-289(TCCCGC,+,0.00),-2(GCGGGA,-,0.00)
NM_025274	chr9	78367899	78368499	-	0	NA	promoter-TSS (NM_025274)	promoter-TSS (NM_025274)	0	NM_025274	434423		NM_025274	ENSMUSG00000060461	Dppa5a	Dppa5|Esg1|ecat2	developmental pluripotency associated 5A	protein-coding	0.033333	0.554077	-66(GCGGGA,-,0.00)
NM_027650	chr5	13791319	13791919	+	0	NA	promoter-TSS (NM_027650)	promoter-TSS (NM_027650)	0	NM_027650	71026		NM_027650	ENSMUSG00000067855	Speer3	4933405P08Rik|SPEER-3	spermatogenesis associated glutamate (E)-rich protein 3	protein-coding	0.005000	0.455907	
NM_028892	chr3	99885117	99885717	+	0	NA	promoter-TSS (NM_028892)	promoter-TSS (NM_028892)	0	NM_028892	74362		NM_028892	ENSMUSG00000027867	Spag17	4931427F14Rik|PF6|Spag17-ps	sperm associated antigen 17	protein-coding	0.028333	0.534110	
NM_194064	chr7	18987224	18987824	+	0	NA	promoter-TSS (NM_194064)	promoter-TSS (NM_194064)	0	NM_194064	378430		NM_194064	ENSMUSG00000051965	Nanos2	nos2	nanos C2HC-type zinc finger 2	protein-coding	0.006667	0.540765	
NM_008811	chr3	141212055	141212655	-	0	NA	promoter-TSS (NM_008811)	promoter-TSS (NM_008811)	0	NM_008811	18598		NM_008811	ENSMUSG00000047674	Pdha2	Pdhal	pyruvate dehydrogenase E1 alpha 2	protein-coding	0.011667	0.371048	
NM_001081083	chr2	19198818	19199418	+	0	NA	promoter-TSS (NM_001271563)	promoter-TSS (NM_001271563)	0	NM_001081083	70882		NM_001081083	ENSMUSG00000037683	Armc3	4921513G22Rik	armadillo repeat containing 3	protein-coding	0.033333	0.525790	
NM_030080	chr3	90243212	90243812	-	0	NA	promoter-TSS (NM_001307935)	promoter-TSS (NM_001307935)	0	NM_030080	78284		NM_030080	ENSMUSG00000027938	Creb3l4	1700012K17Rik|5330432F22Rik|AIBZIP|CREB4|JAL|TISP40|acre1	cAMP responsive element binding protein 3-like 4	protein-coding	0.025000	0.497504	
NM_134471	chr4	117182324	117182924	-	0	NA	promoter-TSS (NM_134471)	promoter-TSS (NM_134471)	0	NM_134471	73804		NM_134471	ENSMUSG00000028678	Kif2c	4930402F02Rik|ESTM5|Knsl6|MCAK	kinesin family member 2C	protein-coding	0.051667	0.529118	23(GCGGGA,-,0.00)
NM_010438	chr10	62379608	62380208	-	0	NA	promoter-TSS (NM_010438)	promoter-TSS (NM_010438)	0	NM_010438	15275		NM_010438	ENSMUSG00000037012	Hk1	Hk-1|Hk1-s|dea|mHk1-s	hexokinase 1	protein-coding	0.008333	0.492512	
NM_001081331	chr7	134376531	134377131	-	0	NA	promoter-TSS (NM_001081331)	promoter-TSS (NM_001081331)	0	NM_001081331	71007		NM_001081331	ENSMUSG00000030994	D7Ertd443e	4933400E14Rik|FATS|Gm497	DNA segment, Chr 7, ERATO Doi 443, expressed	protein-coding	0.008333	0.519135	
NM_028615	chr16	48309974	48310574	+	0	NA	promoter-TSS (NM_028615)	promoter-TSS (NM_028615)	0	NM_028615	73703		NM_028615	ENSMUSG00000072419	Dppa2	2410088E07Rik|D19Mgi18|ECAT15-2	developmental pluripotency associated 2	protein-coding	0.016667	0.430948	
NR_029569	chr6	30165692	30166292	-	0	NA	promoter-TSS (NR_029569)	promoter-TSS (NR_029569)	0	NR_029569	387177		NR_029569	ENSMUSG00000076361	Mir182	Mirn182|mir-182|mmu-mir-182	microRNA 182	ncRNA	0.021667	0.584027	
NM_183103	chr9	110844206	110844806	+	0	NA	promoter-TSS (NM_183103)	promoter-TSS (NM_183103)	0	NM_183103	74306		NM_183103	ENSMUSG00000049719	Prss46	1700112C13Rik|79H19B|Tessp6	serine protease 46	protein-coding	0.023333	0.559068	
NM_025850	chr7	133776591	133777191	+	0	NA	promoter-TSS (NM_133941)	promoter-TSS (NM_133941)	0	NM_025850	66930		NM_025850	ENSMUSG00000053111	Fank1	1700007B22Rik|FANK1S	fibronectin type 3 and ankyrin repeat domains 1	protein-coding	0.096667	0.673877	-253(GCGGGA,-,0.00),-127(TCCCGC,+,0.00)
NM_009407	chr1	73015599	73016199	-	0	NA	promoter-TSS (NR_038001)	promoter-TSS (NR_038001)	0	NM_009407	21958		NM_009407	ENSMUSG00000026182	Tnp1	Stp-1|TP1|Tp-1	transition protein 1	protein-coding	0.025000	0.509151	
NM_027939	chr3	124425739	124426339	-	0	NA	promoter-TSS (NM_027939)	promoter-TSS (NM_027939)	0	NM_027939	71824		NM_027939	ENSMUSG00000027973	1700006A11Rik	-	RIKEN cDNA 1700006A11 gene	protein-coding	0.001667	0.362729	
NM_001162928	chr13	21980881	21981481	+	0	NA	promoter-TSS (NM_001162928)	promoter-TSS (NM_001162928)	0	NM_001162928	195236		NM_001162928	ENSMUSG00000016982	Pom121l2	Gm24	POM121 transmembrane nucleoporin like 2	protein-coding	0.045000	0.550749	-181(TCCCGC,+,0.00)
NM_198655	chr2	151475851	151476451	-	0	NA	promoter-TSS (NM_198655)	promoter-TSS (NM_198655)	0	NM_198655	381393		NM_198655	ENSMUSG00000061525	4921509C19Rik	Gm1005	RIKEN cDNA 4921509C19 gene	protein-coding	0.013333	0.434276	
NM_013688	chr17	45523134	45523734	+	0	NA	promoter-TSS (NM_013688)	promoter-TSS (NM_013688)	0	NM_013688	21645		NM_013688	ENSMUSG00000023949	Tcte1	D17Sil1|Tcte-1	t-complex-associated testis expressed 1	protein-coding	0.048333	0.590682	
NM_029696	chr1	63730018	63730618	-	0	NA	promoter-TSS (NM_029696)	promoter-TSS (NM_029696)	0	NM_029696	76668		NM_029696	ENSMUSG00000025963	Mdh1b	1700124B08Rik	malate dehydrogenase 1B, NAD (soluble)	protein-coding	0.038333	0.459235	
NM_028484	chr16	3908389	3908989	-	0	NA	promoter-TSS (NM_029738)	promoter-TSS (NM_029738)	0	NM_028484	73261		NM_028484	ENSMUSG00000005983	1700037C18Rik	2810022L20Rik	RIKEN cDNA 1700037C18 gene	protein-coding	0.048333	0.539101	
NM_028568	chrX	18145570	18146170	+	0	NA	promoter-TSS (NM_028568)	promoter-TSS (NM_028568)	0	NM_028568	73547		NM_028568	ENSMUSG00000025043	Dusp21	1700094E07Rik|DSP21	dual specificity phosphatase 21	protein-coding	0.015000	0.467554	
NM_029937	chr3	90103838	90104438	+	0	NA	promoter-TSS (NM_029937)	promoter-TSS (NM_029937)	0	NM_029937	77595		NM_029937	ENSMUSG00000027939	Nup210l	4930548O11Rik|R26-EGFP|Tg(Gt(ROSA)26Sor-EGFP)130910Eps	nucleoporin 210-like	protein-coding	0.028333	0.489185	
NM_177779	chr11	68586737	68587337	+	0	NA	promoter-TSS (NR_155283)	promoter-TSS (NR_155283)	0	NM_177779	276920		NM_177779	ENSMUSG00000045915	Ccdc42	A530001H01Rik	coiled-coil domain containing 42	protein-coding	0.015000	0.527454	
NR_036606	chr2	158191708	158192308	+	0	NA	promoter-TSS (NR_036606)	promoter-TSS (NR_036606)	0	NR_036606	73399		NR_036606	ENSMUSG00000078957	1700060C20Rik	-	RIKEN cDNA 1700060C20 gene	ncRNA	0.005000	0.507488	
NM_009191	chr7	101663451	101664051	+	0	NA	promoter-TSS (NM_009191)	promoter-TSS (NM_009191)	0	NM_009191	20480		NM_009191	ENSMUSG00000001829	Clpb	Skd3	ClpB caseinolytic peptidase B	protein-coding	0.070000	0.585691	
NR_003596	chr5	10864729	10865329	+	0	NA	promoter-TSS (NR_003596)	promoter-TSS (NR_003596)	0	NR_003596	623849		NR_003596	ENSMUSG00000091422	Gm6455	EG623849	predicted gene 6455	pseudo	0.003333	0.500832	
NM_183015	chrX	7041319	7041919	-	0	NA	promoter-TSS (NM_183015)	promoter-TSS (NM_183015)	0	NM_183015	209091		NM_183015	ENSMUSG00000051592	Ccnb3	-	cyclin B3	protein-coding	0.035000	0.417637	
NM_009603	chr11	70618894	70619494	-	0	NA	promoter-TSS (NM_009603)	promoter-TSS (NM_009603)	0	NM_009603	11448		NM_009603	ENSMUSG00000014609	Chrne	AChrepsilon|Acre|nAChRE	cholinergic receptor, nicotinic, epsilon polypeptide	protein-coding	0.006667	0.540765	
NM_010289	chr4	32602082	32602682	-	0	NA	promoter-TSS (NM_010289)	promoter-TSS (NM_010289)	0	NM_010289	14610		NM_010289	ENSMUSG00000051056	Gja10	Cx-57|Cx59|Cxnn|cx57	gap junction protein, alpha 10	protein-coding	0.015000	0.450915	
